Blog	how	best	life	zich	had	people	for	when	time	years	one	s	world	het	with	an	as	at	to	te	more	door	its	last	be	by	into	heeft	up	us	nieuwe	video	next	this	high	off	government	could	after	they	de	we	has	om	the	was	naar	can	nog	not	en	year	er	that	than	online	t	your	you	a	voor	een	some	facebook	meer	bij	data	i	new	met	president	tegen	said	is	it	if	make	down	die	dit	ook	may	first	u	mandela	two	maar	google	from	zijn	dan	dat	have	jaar	uit	like	about	but	over	top	tot	been	n	no	niet	and	week	hebben	on	of	or	op	there	all	als	what	his	aan	are	out	their	which	who	he	will	van	other
The Amazing Retecool 8.0	0	0	0	6	2	0	0	0	0	0	0	7	0	34	0	0	0	0	1	18	0	10	0	0	0	0	0	8	0	0	3	1	0	0	0	0	0	0	0	0	81	12	0	12	2	3	2	0	4	0	37	0	7	0	0	0	3	0	1	1	14	63	0	0	4	5	0	1	0	14	1	0	0	27	0	0	1	0	19	19	5	0	0	22	2	0	14	0	0	20	11	31	0	1	14	0	0	0	7	0	3	0	8	0	15	1	3	8	0	4	0	23	0	0	14	0	0	9	0	0	0	0	0	1	0	56	0
BBC News - UK Politics	3	0	1	0	1	3	10	0	1	0	1	15	0	0	1	4	5	4	22	0	4	0	1	2	6	1	1	0	1	0	0	10	0	0	2	2	1	2	2	3	1	0	6	0	47	1	0	2	0	5	0	3	0	2	4	1	1	2	1	26	0	0	0	0	0	0	0	3	2	0	1	0	3	9	8	1	0	0	0	0	0	0	1	0	7	0	0	0	3	0	0	0	1	0	0	0	3	2	3	1	0	2	0	1	0	15	2	0	9	26	0	0	0	1	0	4	5	0	4	2	4	0	5	3	3	0	2
Latest from Computerworld	0	0	1	0	2	0	4	0	2	0	1	11	2	0	2	1	1	3	8	0	0	0	3	1	2	2	0	0	2	0	0	1	0	1	0	2	1	0	0	0	0	0	1	0	18	0	0	0	0	0	0	1	0	3	0	3	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	3	2	0	0	0	4	1	0	0	0	0	0	0	0	4	0	0	1	0	3	0	0	0	10	0	0	0	12	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	3
Slashdot	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VK: Home	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	6	0	4	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	46	0	0	3	0	1	4	0	1	0	5	0	1	0	0	0	0	0	0	0	5	10	0	2	0	0	0	0	0	8	1	4	0	7	0	0	0	0	1	2	1	0	0	0	0	0	2	0	0	2	0	7	0	3	2	0	0	0	4	0	2	0	0	0	1	0	0	1	0	2	0	8	0	0	3	0	0	2	0	0	0	0	0	0	0	18	0
Allrecipes Daily Recipes for Holidays and Events	1	0	1	0	1	0	7	0	0	1	1	8	0	0	16	3	3	2	11	0	1	0	0	0	4	21	1	0	1	0	0	0	0	13	0	0	0	0	0	1	1	0	2	0	21	1	0	3	0	0	0	1	0	5	2	0	0	2	3	30	0	0	0	0	0	0	0	9	4	0	0	0	0	6	2	2	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	52	0	0	4	17	6	0	0	2	0	0	0	0	4	2	0	0	0	0	2	0	1
NYT > Sports	1	0	0	0	4	0	13	1	1	4	2	19	0	0	9	5	5	11	32	0	0	0	2	2	4	1	2	0	2	0	0	1	1	4	1	8	0	1	4	1	0	0	2	0	81	8	0	0	0	4	0	1	0	3	0	0	1	0	0	37	0	0	3	0	0	0	0	2	6	0	1	0	4	7	2	0	1	6	0	0	0	2	3	2	0	1	0	0	5	0	0	0	4	0	0	1	2	7	2	1	0	1	5	1	0	23	3	0	14	29	2	0	2	1	0	1	10	0	3	4	5	0	7	7	4	0	0
NYT > Health	3	0	2	0	0	2	28	3	3	2	1	11	1	0	12	4	11	3	33	0	6	0	3	0	5	2	1	0	1	0	0	0	0	4	2	1	4	1	2	4	0	2	8	0	62	1	0	5	0	2	0	0	0	17	3	0	0	0	2	50	0	0	5	0	0	0	0	4	12	0	1	0	1	12	1	2	0	1	0	0	0	0	0	2	0	2	0	0	5	0	0	0	5	0	0	1	6	6	1	1	0	4	0	0	0	31	0	0	7	46	2	0	0	2	0	0	0	0	15	2	4	0	5	0	1	0	4
Christian Science Monitor | All Stories	0	2	2	0	1	1	27	1	3	1	4	22	5	0	10	7	10	10	46	0	6	0	5	2	5	7	3	0	3	5	0	1	0	7	2	3	4	4	2	1	0	0	7	0	73	6	0	5	0	4	0	4	0	11	3	6	2	2	3	48	0	0	1	1	0	0	3	0	11	0	4	0	1	22	9	3	2	2	0	0	0	4	1	1	9	1	0	1	10	0	0	0	6	0	0	5	2	7	1	1	0	2	0	2	0	29	3	0	15	47	4	0	4	1	0	0	2	0	10	1	5	1	6	4	8	0	2
JuroFoon juridisch nieuws alle rechtsgebieden	0	0	0	0	4	0	0	0	0	0	0	0	0	14	0	0	0	0	0	8	0	3	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	22	0	0	3	0	1	1	0	0	0	6	0	1	0	0	0	0	0	0	0	6	24	0	0	0	2	0	0	0	4	0	0	0	8	0	0	0	0	9	1	1	0	0	0	0	0	2	0	0	11	2	4	0	0	1	0	0	0	4	0	1	0	0	0	4	0	0	5	0	5	0	12	0	0	3	0	0	1	0	0	0	0	0	0	0	8	0
TROUW: Home	0	0	0	1	0	0	0	0	0	0	0	1	0	20	0	0	0	0	0	7	0	4	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	45	0	0	3	0	2	4	0	2	0	5	0	2	0	0	0	0	0	0	0	4	9	0	2	0	1	0	0	0	8	1	2	0	6	0	0	0	0	1	2	1	0	0	0	0	0	3	0	0	3	0	8	0	3	2	0	0	0	2	0	2	1	0	0	2	0	0	1	0	2	0	11	0	0	5	0	0	1	0	0	0	0	0	0	0	14	0
Weblog Jan Marijnissen	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	29	1	0	0	0	1	0	0	0	0	14	0	2	0	0	0	0	0	0	0	4	3	0	0	3	1	0	0	0	7	0	0	0	9	0	0	0	0	2	2	1	0	0	0	3	0	1	0	0	7	1	2	0	1	1	0	0	0	5	0	1	0	0	0	1	0	1	3	0	1	0	4	0	0	1	0	0	3	0	0	0	0	0	0	0	13	0
BBC News - Health	4	0	1	0	1	7	3	1	0	0	1	9	1	0	5	1	0	5	24	0	3	0	1	0	3	4	0	0	6	1	0	7	0	0	1	0	0	2	0	1	0	0	8	0	24	0	0	6	0	4	0	2	0	3	2	2	0	3	1	33	0	0	1	2	0	0	0	1	4	0	0	0	0	10	0	0	0	1	0	0	0	1	3	0	2	0	0	0	6	0	0	0	4	0	0	1	1	0	0	0	0	1	2	1	0	7	0	0	5	20	0	0	0	1	0	1	1	0	7	0	4	1	2	2	0	0	0
BBC News - Entertainment & Arts	2	1	0	0	0	1	8	0	1	4	6	20	4	0	7	4	1	17	18	0	0	0	3	0	3	3	2	0	3	5	0	6	1	4	0	0	2	0	2	0	0	1	4	0	58	4	0	0	0	1	0	6	0	1	0	0	1	0	0	24	0	0	1	0	0	0	0	2	6	0	1	0	0	9	5	0	1	0	0	0	0	0	1	0	8	5	0	0	5	0	0	0	3	0	0	0	2	1	1	2	0	3	0	0	0	18	2	0	8	40	0	0	0	0	0	1	2	0	2	1	0	4	1	1	1	0	3
Science News Headlines - Yahoo! News	8	1	5	0	4	6	37	5	4	0	19	64	6	0	18	17	24	29	91	0	7	0	23	4	7	26	6	0	7	1	0	0	1	12	5	5	0	4	10	2	0	6	9	0	204	8	0	7	0	13	1	9	0	34	6	1	5	2	8	133	0	0	1	0	0	0	2	5	24	0	1	0	21	36	21	4	1	3	0	0	0	5	10	1	0	3	0	1	17	0	0	0	19	0	0	3	9	10	1	3	0	4	0	4	0	70	4	0	35	134	13	2	4	7	0	4	1	0	11	4	16	10	8	7	9	0	4
BBC News - Technology	1	0	0	0	1	2	7	0	0	0	5	11	6	0	3	3	0	4	20	0	0	0	1	0	4	7	0	0	0	5	0	8	2	2	0	0	2	5	1	0	0	3	1	0	25	0	0	0	0	0	0	0	0	4	0	5	0	3	4	15	0	0	2	5	0	0	2	0	4	0	0	0	0	6	3	1	5	1	0	0	0	1	0	0	0	0	0	1	6	0	0	0	4	0	0	1	1	0	3	0	0	3	0	1	0	14	0	0	7	14	0	0	0	0	0	0	0	0	4	4	2	3	1	0	2	0	4
washingtonpost.com - World	0	0	3	0	3	1	4	1	1	2	2	15	0	0	10	3	5	1	16	0	1	0	5	0	1	7	2	0	1	2	0	0	1	1	0	1	4	0	2	1	0	0	2	0	32	1	0	2	0	0	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	4	0	6	0	4	9	2	0	0	1	0	0	0	0	0	10	0	1	0	0	5	0	0	0	2	0	0	0	0	0	4	0	0	0	2	0	0	16	0	0	10	19	0	0	0	0	0	0	3	0	0	4	0	0	2	6	0	0	1
nu.nl - Internet	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	4	0	1	1	0	0	0	7	0	2	0	0	2	0	0	0	0	2	2	0	3	2	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0
washingtonpost.com - Health	1	1	0	0	0	0	1	0	0	2	0	4	0	0	0	3	0	1	7	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	3	0	1	2	0	0	1	0	12	0	0	2	0	0	0	2	0	4	2	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	1	12	1	0	0	0	0	0	0	0	3	1	0	1	3	0	0	0	0
Tech News Headlines - Yahoo! News	5	7	5	0	4	11	42	8	7	2	5	56	8	0	40	20	21	17	125	0	8	0	30	7	19	31	3	0	12	6	0	7	3	10	1	2	3	4	7	10	0	6	22	0	202	14	0	9	0	16	0	2	0	52	8	11	13	7	26	97	0	0	3	2	0	0	6	7	12	0	0	0	15	32	32	6	6	1	0	0	0	7	7	2	0	2	0	21	17	0	0	0	15	0	0	6	6	12	5	2	0	5	0	2	0	63	7	0	38	87	12	0	4	9	0	9	5	0	12	3	14	7	4	2	22	0	3
washingtonpost.com - Sports	0	0	0	0	0	0	2	0	1	0	0	1	0	0	3	1	1	0	5	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	5	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	3	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0
NOS.nl nieuws	0	0	0	2	1	0	0	0	0	0	0	1	0	18	0	0	0	0	0	4	0	2	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	57	0	0	4	0	0	5	0	1	0	14	0	2	0	0	0	0	0	0	0	6	11	0	0	3	3	0	0	0	3	2	2	0	7	0	0	0	0	13	2	0	0	0	0	1	0	0	0	0	11	3	12	0	3	3	0	0	0	3	0	1	1	1	0	8	0	0	2	0	1	0	13	0	0	1	0	0	6	0	0	0	0	0	0	0	23	0
Sports News Headlines - Yahoo! News	0	2	0	0	8	0	29	5	8	4	11	30	28	0	38	5	20	37	65	1	2	0	0	7	6	24	4	0	7	0	0	0	2	6	3	0	0	0	17	5	1	2	4	0	186	9	0	0	0	2	0	10	0	9	0	0	2	0	0	71	0	0	1	0	0	0	0	2	6	0	2	0	6	5	7	0	2	1	0	0	0	0	20	3	3	9	0	0	16	0	0	0	8	0	0	2	1	6	7	5	0	3	0	5	0	39	1	0	50	61	0	0	2	6	0	1	18	0	5	8	7	2	11	11	12	1	3
Soccerway.com	0	2	0	0	0	1	14	2	1	0	1	17	2	0	13	2	9	18	31	0	2	0	0	4	6	4	2	0	1	0	0	0	0	0	0	1	0	2	6	8	0	1	10	0	46	0	0	3	0	6	0	0	0	1	1	0	0	0	0	24	0	0	1	0	0	0	0	0	1	0	0	0	0	5	1	1	1	3	0	0	0	1	0	0	0	1	0	0	5	0	0	0	7	0	0	0	0	1	7	5	0	5	0	2	0	4	0	0	22	23	2	0	1	1	0	0	9	0	3	0	18	0	1	7	11	2	0
Marketingfacts	0	0	0	4	1	0	1	0	0	0	0	5	0	21	0	0	0	0	1	5	0	4	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	29	4	0	5	3	0	7	0	1	0	21	0	1	0	0	3	0	0	0	1	17	19	0	0	12	0	5	0	0	13	0	0	0	12	2	0	0	0	4	2	3	0	0	0	0	0	3	0	0	2	2	6	0	4	5	0	2	0	13	0	3	0	2	0	2	0	10	1	0	3	0	13	0	2	4	0	0	6	0	0	0	0	0	0	0	25	0
Web Science and Digital Libraries Research Group	86	15	3	0	43	25	324	49	68	8	51	160	16	0	261	126	138	137	729	0	56	0	15	33	124	168	27	0	35	21	0	23	35	156	9	11	2	23	47	90	9	183	51	0	1944	182	0	78	0	111	11	17	0	337	23	8	43	34	112	649	0	0	48	7	0	0	140	186	30	2	7	0	28	396	186	48	15	9	0	0	0	21	61	14	0	38	0	19	229	0	0	0	87	0	0	39	111	91	25	11	0	20	14	34	0	815	9	0	247	858	74	0	49	61	0	57	59	0	169	36	90	64	34	92	76	5	54
BBC News - Business	5	0	2	0	1	2	22	1	0	2	2	22	5	0	5	7	8	9	40	0	3	0	11	0	3	7	0	0	3	15	0	9	1	2	2	1	4	4	6	0	0	1	3	0	63	2	0	0	0	0	0	8	0	2	3	1	0	0	0	31	0	0	4	3	0	0	2	0	11	0	1	0	0	7	7	0	0	2	0	0	0	1	6	0	1	2	0	1	5	0	0	0	2	0	0	3	1	0	5	0	0	2	0	0	0	22	0	0	16	36	2	0	0	1	0	1	4	0	9	0	2	3	0	2	5	0	1
Health News Headlines - Yahoo! News	5	3	11	0	5	6	42	3	14	2	8	47	1	0	34	19	9	20	95	0	6	0	7	2	11	25	3	0	6	2	0	2	0	10	6	1	3	3	1	6	0	14	10	0	136	10	0	7	0	13	0	4	1	30	2	1	4	7	23	66	0	0	2	0	0	0	1	13	16	2	0	0	11	19	19	3	1	1	0	0	0	0	2	13	0	2	0	0	11	0	0	0	10	0	0	3	10	4	8	0	0	3	2	3	0	72	4	0	26	69	10	0	7	4	0	7	3	0	10	5	8	3	11	4	3	0	1
BBC News - Home	3	0	3	0	0	7	11	0	1	3	9	16	8	0	11	10	7	6	36	0	3	0	4	0	6	9	4	0	2	12	0	8	0	3	0	1	4	4	7	0	0	0	3	0	78	1	0	0	0	1	0	2	0	4	1	1	2	1	1	39	0	0	0	3	0	0	0	2	3	0	4	0	0	13	4	0	0	1	1	0	0	1	2	0	12	2	0	1	11	0	0	0	5	0	0	2	3	1	2	0	0	1	1	2	0	19	3	0	13	44	1	0	1	0	0	1	3	0	5	0	3	1	1	2	3	0	0
GeenStijl	0	0	0	2	1	0	0	0	0	0	0	1	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26	3	0	1	1	1	1	0	2	0	22	0	7	0	0	0	1	0	0	0	8	10	0	1	1	2	1	0	0	9	0	2	0	6	0	0	0	0	6	2	3	0	0	1	2	0	6	1	0	5	2	8	0	0	5	0	0	0	6	0	3	0	3	0	6	0	0	0	0	3	0	9	0	0	3	0	0	3	0	0	0	0	0	0	0	15	0
SP :: headlines	0	0	0	1	1	0	0	0	0	0	0	2	0	16	0	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	38	0	0	5	0	0	4	0	0	0	11	0	4	0	0	0	0	0	0	0	11	14	0	0	1	4	0	0	0	8	0	1	0	5	0	0	0	0	5	0	2	0	0	0	2	0	1	0	0	6	1	5	0	2	2	0	0	0	2	0	0	0	0	0	1	0	1	2	0	3	0	7	0	0	1	0	0	9	0	0	0	0	0	0	0	24	0
BBC News - Science & Environment	2	3	1	0	0	2	10	1	2	1	2	18	4	0	6	5	2	7	35	0	4	0	5	1	5	7	1	0	2	5	0	8	2	0	0	3	3	3	5	1	0	1	4	0	45	1	0	3	0	1	0	4	0	8	2	0	0	0	0	38	0	0	0	0	0	0	0	0	6	0	0	0	0	13	3	0	3	2	1	0	0	0	4	0	0	0	0	1	7	0	0	0	6	0	0	0	1	0	1	0	0	1	0	0	0	6	1	0	9	26	1	0	0	2	0	3	1	0	4	1	5	3	1	1	2	0	3
